axis,value,seed,bandit_v2,ppo_v3,fqi_v3,ppo_minus_bandit,fqi_minus_bandit
fatigue_rate,0.0,10,1.4543741059455941,1.7118814530950774,1.4225506092076394,0.2575073471494833,-0.031823496737954704
fatigue_rate,0.0,11,1.4639551504332202,1.6298958857628378,1.396088785280458,0.16594073532961762,-0.06786636515276223
fatigue_rate,0.0,12,1.5355892237605555,1.5717795642219663,1.4205518111134288,0.036190340461410786,-0.11503741264712675
fatigue_rate,0.0,13,1.4451210506553995,1.586642327787175,1.3993397580077165,0.14152127713177554,-0.04578129264768305
fatigue_rate,0.0,14,1.4669756229804936,1.6630371056448217,1.4052461077849072,0.1960614826643281,-0.06172951519558634
fatigue_rate,0.1,10,1.3159681078889072,1.4268995673811795,1.3081630135624789,0.11093145949227234,-0.007805094326428286
fatigue_rate,0.1,11,1.2883531238218742,1.2996574406335424,1.322713434509298,0.011304316811668214,0.034360310687423734
fatigue_rate,0.1,12,1.2673698120851522,1.3305797374362571,1.274968001687441,0.06320992535110492,0.007598189602288752
fatigue_rate,0.1,13,1.2327990337042212,1.2954048653523402,1.2993745808021602,0.06260583164811906,0.066575547097939
fatigue_rate,0.1,14,1.2544015400792645,1.4346219772754631,1.2187043592977307,0.18022043719619862,-0.03569718078153383
fatigue_rate,0.2,10,1.180371241508201,1.3099376113040386,1.2068683293586147,0.12956636979583758,0.026497087850413603
fatigue_rate,0.2,11,1.1581266171957538,1.2002902838840166,1.2577286603374307,0.04216366668826277,0.09960204314167687
fatigue_rate,0.2,12,1.1686143588397309,1.1319078718675386,1.203367052638832,-0.036706486972192254,0.034752693799101175
fatigue_rate,0.2,13,1.1538684508780586,1.2608412513428227,1.1950917460089951,0.1069728004647641,0.04122329513093659
fatigue_rate,0.2,14,1.1985562416199125,1.2761072237745268,1.1813336226084505,0.07755098215461431,-0.017222619011461937
fatigue_rate,0.4,10,1.1294973704721187,1.3099376113040386,1.0209152196177522,0.1804402408319199,-0.10858215085436651
fatigue_rate,0.4,11,1.0593624272283768,1.2002902838840166,1.1579742218787366,0.14092785665563978,0.09861179465035974
fatigue_rate,0.4,12,1.0424567206237174,1.2948597335408925,1.1516968270497685,0.25240301291717504,0.10924010642605109
fatigue_rate,0.4,13,0.9714178523774651,1.2859973556467512,1.0914132380308648,0.3145795032692861,0.11999538565339962
fatigue_rate,0.4,14,1.0645946562286719,1.2761072237745268,1.122077179732498,0.2115125675458549,0.0574825235038261
fatigue_rate,0.6,10,1.0243249639199574,1.3099376113040386,0.9102300316678177,0.2856126473840812,-0.11409493225213974
fatigue_rate,0.6,11,1.0387380539665085,1.2002902838840166,1.0549473565972933,0.16155222991750806,0.016209302630784794
fatigue_rate,0.6,12,1.0568642759917364,1.2948597335408925,0.96696178230169,0.23799545754915608,-0.08990249369004633
fatigue_rate,0.6,13,1.015701803336988,1.2859973556467512,1.0384857861338483,0.2702955523097632,0.022783982796860336
fatigue_rate,0.6,14,0.9943915064408345,1.2761072237745268,1.000777427451765,0.2817157173336923,0.006385921010930384
