axis,value,seed,policy,mean_reward,std_reward,purchase_rate
fatigue_rate,0.0,5,bandit_v2,1.1307733725783224,3.0067222978300205,0.0766
fatigue_rate,0.0,5,ppo_v3,1.1090740234723526,3.041093971162178,0.0806
fatigue_rate,0.0,5,fqi_v3,1.0503974860052836,2.9648700888789485,0.079
fatigue_rate,0.0,5,uniform,1.0172154721393036,2.9118595776263043,0.0762
fatigue_rate,0.0,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.0,6,bandit_v2,1.1435334247171332,3.030932372789122,0.077
fatigue_rate,0.0,6,ppo_v3,1.1173726777306259,3.0172511681859597,0.0766
fatigue_rate,0.0,6,fqi_v3,1.0664905005433203,2.9838612969955163,0.0824
fatigue_rate,0.0,6,uniform,1.065086276881002,2.965041777507048,0.0768
fatigue_rate,0.0,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.0,7,bandit_v2,1.173675659153899,3.063433856727632,0.0824
fatigue_rate,0.0,7,ppo_v3,1.1557184421746372,3.0129137552402856,0.079
fatigue_rate,0.0,7,fqi_v3,1.1070938026636452,3.038037463410817,0.0846
fatigue_rate,0.0,7,uniform,1.0119097139174,2.884487526726151,0.0744
fatigue_rate,0.0,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.0,8,bandit_v2,1.2378678156915839,3.094300087788361,0.085
fatigue_rate,0.0,8,ppo_v3,1.1874186811197824,3.103586441774329,0.0858
fatigue_rate,0.0,8,fqi_v3,1.0663149285495734,2.9544292883738468,0.08
fatigue_rate,0.0,8,uniform,1.1115188546849577,3.0683179180353353,0.0822
fatigue_rate,0.0,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.0,9,bandit_v2,1.0957991527971438,2.9696759848359244,0.0756
fatigue_rate,0.0,9,ppo_v3,1.1268229082153296,3.031999673866185,0.0774
fatigue_rate,0.0,9,fqi_v3,1.0367239394598942,2.928760271763634,0.078
fatigue_rate,0.0,9,uniform,1.1415475118307172,3.077516099715073,0.0854
fatigue_rate,0.0,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.1,5,bandit_v2,0.9442695034616442,3.0186703923510674,0.0794
fatigue_rate,0.1,5,ppo_v3,0.9550362383401679,3.012914050071578,0.0836
fatigue_rate,0.1,5,fqi_v3,0.963133673972216,2.9593639724747596,0.0802
fatigue_rate,0.1,5,uniform,0.8298954721393038,2.850757491609323,0.0762
fatigue_rate,0.1,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.1,6,bandit_v2,0.9738300085870333,2.934642076647647,0.079
fatigue_rate,0.1,6,ppo_v3,0.9069511908002483,2.875155725859445,0.0776
fatigue_rate,0.1,6,fqi_v3,0.9571404265405629,2.9343594175930057,0.0826
fatigue_rate,0.1,6,uniform,0.8801662768810021,2.8919901290226373,0.0768
fatigue_rate,0.1,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.1,7,bandit_v2,0.9202005253871521,2.884014159290659,0.0738
fatigue_rate,0.1,7,ppo_v3,0.882915830297488,2.834565680014095,0.0766
fatigue_rate,0.1,7,fqi_v3,0.957432434573763,2.925063687152512,0.0792
fatigue_rate,0.1,7,uniform,0.8153697139174001,2.826127701258493,0.0744
fatigue_rate,0.1,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.1,8,bandit_v2,0.9735781857303116,2.9105775827247866,0.0782
fatigue_rate,0.1,8,ppo_v3,0.9475681159356968,2.9040876577925743,0.078
fatigue_rate,0.1,8,fqi_v3,0.9814601842223858,2.955121128262252,0.0818
fatigue_rate,0.1,8,uniform,0.9351388546849575,3.0007541808284475,0.0822
fatigue_rate,0.1,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.1,9,bandit_v2,0.9310666959157424,2.9836955483264207,0.0802
fatigue_rate,0.1,9,ppo_v3,1.018065541972616,3.0656445374409844,0.0864
fatigue_rate,0.1,9,fqi_v3,0.9784678128711739,2.9116742279326413,0.0824
fatigue_rate,0.1,9,uniform,0.952267511830717,3.021572525264581,0.0854
fatigue_rate,0.1,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.2,5,bandit_v2,0.8942157243449658,2.9546875411796347,0.0802
fatigue_rate,0.2,5,ppo_v3,0.7830167846934223,2.811757090670716,0.0742
fatigue_rate,0.2,5,fqi_v3,0.9062758801295975,2.9429200482722506,0.0816
fatigue_rate,0.2,5,uniform,0.6925554721393037,2.839785572755032,0.0762
fatigue_rate,0.2,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.2,6,bandit_v2,0.8114470638727267,2.867115285276525,0.077
fatigue_rate,0.2,6,ppo_v3,0.9071440636326082,2.995620001094827,0.0852
fatigue_rate,0.2,6,fqi_v3,0.8948908147086606,2.9049735536232224,0.0816
fatigue_rate,0.2,6,uniform,0.7502262768810021,2.8595769013895906,0.0768
fatigue_rate,0.2,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.2,7,bandit_v2,0.8007981676741657,2.8255960523279544,0.0724
fatigue_rate,0.2,7,ppo_v3,0.8157000061103717,2.8231877205164726,0.0782
fatigue_rate,0.2,7,fqi_v3,0.8892371430626804,2.896793395753619,0.08
fatigue_rate,0.2,7,uniform,0.6782497139174001,2.806801356204305,0.0744
fatigue_rate,0.2,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.2,8,bandit_v2,0.9500725117282667,2.9431773590098422,0.0818
fatigue_rate,0.2,8,ppo_v3,0.815318636126847,2.780411127599988,0.0758
fatigue_rate,0.2,8,fqi_v3,0.9285260893478929,2.9061988727768435,0.0824
fatigue_rate,0.2,8,uniform,0.7966388546849577,2.974742902276842,0.0822
fatigue_rate,0.2,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.2,9,bandit_v2,0.8462839837528552,2.947179974746267,0.0818
fatigue_rate,0.2,9,ppo_v3,0.8846880899595788,2.9982447928082525,0.0848
fatigue_rate,0.2,9,fqi_v3,0.949569638343088,2.964882380286207,0.0862
fatigue_rate,0.2,9,uniform,0.8162275118307171,2.9821161237486815,0.0854
fatigue_rate,0.2,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.4,5,bandit_v2,0.769127350888044,2.8804704685643805,0.078
fatigue_rate,0.4,5,ppo_v3,0.8093025995475699,2.7934551172599384,0.0748
fatigue_rate,0.4,5,fqi_v3,0.7646863821432125,2.8997538659497732,0.08
