axis,value,seed,bandit_v2,ppo_v3,fqi_v3,ppo_minus_bandit,fqi_minus_bandit
fatigue_rate,0.0,0,1.125181760851891,1.0914384503029175,1.0651223749138843,-0.033743310548973504,-0.06005938593800675
fatigue_rate,0.0,1,1.2054432102505568,1.1268063878731027,1.0176875584233627,-0.07863682237745406,-0.18775565182719411
fatigue_rate,0.0,2,1.2322276566428667,1.3066250951138296,1.0917960384322554,0.07439743847096292,-0.14043161821061134
fatigue_rate,0.0,3,1.1644546203331185,1.340834517636702,1.0602228716314652,0.1763798973035835,-0.1042317487016533
fatigue_rate,0.0,4,1.2082784184112971,1.3104028515593344,1.0902190075730944,0.10212443314803732,-0.1180594108382027
fatigue_rate,0.1,0,0.9943201722164021,0.9782596623114627,0.9327214754864465,-0.016060509904939457,-0.06159869672995566
fatigue_rate,0.1,1,0.9592937395831268,0.9448524446266129,0.9662828340164249,-0.014441294956513917,0.006989094433298093
fatigue_rate,0.1,2,0.922774554165327,0.8906920778103545,0.9695017630102493,-0.03208247635497252,0.04672720884492221
fatigue_rate,0.1,3,0.9185831983311049,1.015203906030478,0.9816785580305079,0.09662070769937314,0.06309535969940294
fatigue_rate,0.1,4,0.971614956084581,1.0027051417958825,0.9349540952205855,0.03109018571130151,-0.03666086086399556
fatigue_rate,0.2,0,0.8914253818049619,0.9715875971418967,0.8283325089207783,0.0801622153369348,-0.06309287288418364
fatigue_rate,0.2,1,0.844943775921551,0.9195434183734371,0.9794950448124937,0.0745996424518861,0.1345512688909427
fatigue_rate,0.2,2,0.8006957982710785,0.8906920778103545,0.9967794987337866,0.08999627953927603,0.19608370046270807
fatigue_rate,0.2,3,0.7712625089917973,0.9760351654368351,0.906884369686662,0.20477265644503784,0.1356218606948647
fatigue_rate,0.2,4,0.9340725038542272,0.9855611041747441,0.8838213350771766,0.05148860032051683,-0.0502511687770506
fatigue_rate,0.4,0,0.8709967890494438,0.962830501759309,0.7915071678060249,0.09183371270986518,-0.07948962124341885
fatigue_rate,0.4,1,0.7727437511975221,0.9231550944421848,0.8626395510399548,0.15041134324466265,0.08989579984243268
fatigue_rate,0.4,2,0.8685100967744768,0.8906920778103545,0.9091858916938343,0.022181981035877762,0.04067579491935758
fatigue_rate,0.4,3,0.7402875922406879,0.976957428663521,0.783830519371472,0.23666983642283312,0.043542927130784115
fatigue_rate,0.4,4,0.7678113181179419,0.9855611041747441,0.8236108171509442,0.21774978605680217,0.0557994990330023
fatigue_rate,0.6,0,0.8586287270542574,0.962830501759309,0.7498183450095974,0.10420177470505154,-0.10881038204465998
fatigue_rate,0.6,1,0.7886508956394598,0.9231550944421848,0.7941046766006945,0.13450419880272502,0.005453780961234722
fatigue_rate,0.6,2,0.8491569070371942,0.8906920778103545,0.9000383535364226,0.04153517077316038,0.05088144649922843
fatigue_rate,0.6,3,0.7822865414811255,1.0107372646690065,0.7103709005971363,0.22845072318788096,-0.07191564088398927
fatigue_rate,0.6,4,0.9059856018254637,0.9855611041747441,0.8241654693062237,0.07957550234928035,-0.08182013251924003
delayed_reward_strength,0.0,0,1.125181760851891,1.2759524503029178,1.0651223749138843,0.15077068945102678,-0.06005938593800675
delayed_reward_strength,0.0,1,1.2054432102505568,1.2455803878731027,1.0176875584233627,0.04013717762254587,-0.18775565182719411
delayed_reward_strength,0.0,2,1.2322276566428667,1.3066250951138296,1.0917960384322554,0.07439743847096292,-0.14043161821061134
delayed_reward_strength,0.0,3,1.1644546203331185,1.340834517636702,1.0602228716314652,0.1763798973035835,-0.1042317487016533
delayed_reward_strength,0.0,4,1.2082784184112971,1.3846428515593345,1.0902190075730944,0.1763644331480374,-0.1180594108382027
delayed_reward_strength,0.25,0,1.3963549827235409,1.9306512991930322,1.391080165280283,0.5342963164694914,-0.005274817443257751
delayed_reward_strength,0.25,1,1.4231154046659746,1.9441705791607011,1.3555360171684276,0.5210551744947265,-0.067579387497547
delayed_reward_strength,0.25,2,1.4648500761602117,1.9847200408394117,1.3948336245108228,0.5198699646792,-0.07001645164938886
delayed_reward_strength,0.25,3,1.4904904228727531,1.959243896218633,1.3909731938623957,0.4687534733458798,-0.09951722901035742
delayed_reward_strength,0.25,4,1.50893326625683,1.9315078710279292,1.5429470224465713,0.4225746047710992,0.03401375618974134
delayed_reward_strength,0.5,0,1.563809198679376,1.9373375780843254,1.5448402105443952,0.3735283794049493,-0.018968988134980824
delayed_reward_strength,0.5,1,1.5851785334743924,1.9475540585456435,1.5328714428532266,0.36237552507125104,-0.052307090621165786
delayed_reward_strength,0.5,2,1.5788892687224212,1.9862893952271483,1.5137823848929246,0.4074001265047271,-0.06510688382949659
delayed_reward_strength,0.5,3,1.6653249034436675,1.969672971584289,1.5752404406698008,0.30434806814062143,-0.09008446277386661
delayed_reward_strength,0.5,4,1.6931559714806474,2.0335344307326104,1.7334834779145363,0.340378459251963,0.04032750643388883
delayed_reward_strength,1.0,0,1.6094198449628918,1.9373375780843254,1.591940848652193,0.3279177331214336,-0.017478996310698713
delayed_reward_strength,1.0,1,1.6147595004834654,1.7875380585456435,1.5437146285430592,0.17277855806217812,-0.0710448719404062
delayed_reward_strength,1.0,2,1.6225974214070313,1.9862893952271483,1.5551213389405756,0.363691973820117,-0.06747608246645576
delayed_reward_strength,1.0,3,1.6907847848684814,1.969672971584289,1.617400810022156,0.2788881867158075,-0.07338397484632542
delayed_reward_strength,1.0,4,1.7223906281997639,2.0335344307326104,1.8262468603165392,0.31114380253284657,0.1038562321167753
delayed_reward_strength,2.0,0,1.6094198449628918,1.9485255780843254,1.591940848652193,0.33910573312143355,-0.017478996310698713
delayed_reward_strength,2.0,1,1.6185206084319965,1.8724320585456433,1.5437146285430592,0.2539114501136468,-0.07480597988893734
delayed_reward_strength,2.0,2,1.6241827664345747,1.9862893952271483,1.560470260516696,0.3621066287925736,-0.06371250591787869
delayed_reward_strength,2.0,3,1.6925458264422737,1.969672971584289,1.617400810022156,0.2771271451420152,-0.07514501642011773
delayed_reward_strength,2.0,4,1.7223906281997639,2.0335344307326104,1.8280111465587692,0.31114380253284657,0.10562051835900532
transition_coupling_strength,0.0,0,1.125181760851891,1.0469964503029177,1.0651223749138843,-0.07818531054897337,-0.06005938593800675
transition_coupling_strength,0.0,1,1.2054432102505568,1.3388483878731028,1.0176875584233627,0.133405177622546,-0.18775565182719411
transition_coupling_strength,0.0,2,1.2322276566428667,1.3149510951138297,1.0917960384322554,0.08272343847096297,-0.14043161821061134
transition_coupling_strength,0.0,3,1.1644546203331185,1.340834517636702,1.0602228716314652,0.1763798973035835,-0.1042317487016533
transition_coupling_strength,0.0,4,1.2082784184112971,1.2783588515593347,1.0902190075730944,0.07008043314803758,-0.1180594108382027
transition_coupling_strength,0.5,0,1.933091394619981,2.4055655539371448,1.6578183532604398,0.47247415931716374,-0.2752730413595412
