axis,value,seed,policy,mean_reward,purchase_rate,std_reward
fatigue_rate,0.0,5,bandit_v2,1.1307733725783224,0.0766,3.0067222978300205
fatigue_rate,0.0,5,fqi_v3,1.0503974860052836,0.079,2.9648700888789485
fatigue_rate,0.0,5,no_op,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.0,5,ppo_v3,1.2146372075894742,0.0756,3.0724048938797646
fatigue_rate,0.0,5,uniform,1.0172154721393036,0.0762,2.9118595776263043
fatigue_rate,0.0,6,bandit_v2,1.1435334247171332,0.077,3.030932372789122
fatigue_rate,0.0,6,fqi_v3,1.0664905005433203,0.0824,2.9838612969955163
fatigue_rate,0.0,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.0,6,ppo_v3,1.3705450175121492,0.0822,3.1535630276051454
fatigue_rate,0.0,6,uniform,1.065086276881002,0.0768,2.965041777507048
fatigue_rate,0.0,7,bandit_v2,1.173675659153899,0.0824,3.063433856727632
fatigue_rate,0.0,7,fqi_v3,1.1070938026636452,0.0846,3.038037463410817
fatigue_rate,0.0,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.0,7,ppo_v3,1.2402284421746372,0.079,3.118528481678208
fatigue_rate,0.0,7,uniform,1.0119097139174,0.0744,2.884487526726151
fatigue_rate,0.0,8,bandit_v2,1.2378678156915839,0.085,3.094300087788361
fatigue_rate,0.0,8,fqi_v3,1.0663149285495734,0.08,2.9544292883738468
fatigue_rate,0.0,8,no_op,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.0,8,ppo_v3,1.4547382676649625,0.0938,3.3266392865049608
fatigue_rate,0.0,8,uniform,1.1115188546849577,0.0822,3.0683179180353353
fatigue_rate,0.0,9,bandit_v2,1.0957991527971438,0.0756,2.9696759848359244
fatigue_rate,0.0,9,fqi_v3,1.0367239394598942,0.078,2.928760271763634
fatigue_rate,0.0,9,no_op,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.0,9,ppo_v3,1.3597952264955602,0.0812,3.18821824977036
fatigue_rate,0.0,9,uniform,1.1415475118307172,0.0854,3.077516099715073
fatigue_rate,0.1,5,bandit_v2,0.9442695034616442,0.0794,3.0186703923510674
fatigue_rate,0.1,5,fqi_v3,0.963133673972216,0.0802,2.9593639724747596
fatigue_rate,0.1,5,no_op,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.1,5,ppo_v3,0.9660324235245702,0.0816,3.024725795690161
fatigue_rate,0.1,5,uniform,0.8298954721393038,0.0762,2.850757491609323
fatigue_rate,0.1,6,bandit_v2,0.9738300085870333,0.079,2.934642076647647
fatigue_rate,0.1,6,fqi_v3,0.9571404265405629,0.0826,2.9343594175930057
fatigue_rate,0.1,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.1,6,ppo_v3,0.9576788533024756,0.077,2.855055157316531
fatigue_rate,0.1,6,uniform,0.8801662768810021,0.0768,2.8919901290226373
fatigue_rate,0.1,7,bandit_v2,0.9202005253871521,0.0738,2.884014159290659
fatigue_rate,0.1,7,fqi_v3,0.957432434573763,0.0792,2.925063687152512
fatigue_rate,0.1,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.1,7,ppo_v3,0.9577560311769127,0.0782,2.8538624117407783
fatigue_rate,0.1,7,uniform,0.8153697139174001,0.0744,2.826127701258493
fatigue_rate,0.1,8,bandit_v2,0.9735781857303116,0.0782,2.9105775827247866
fatigue_rate,0.1,8,fqi_v3,0.9814601842223858,0.0818,2.955121128262252
fatigue_rate,0.1,8,no_op,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.1,8,ppo_v3,1.0457972223443235,0.079,2.9551865428756314
fatigue_rate,0.1,8,uniform,0.9351388546849575,0.0822,3.0007541808284475
fatigue_rate,0.1,9,bandit_v2,0.9310666959157424,0.0802,2.9836955483264207
fatigue_rate,0.1,9,fqi_v3,0.9784678128711739,0.0824,2.9116742279326413
fatigue_rate,0.1,9,no_op,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.1,9,ppo_v3,0.9375299698299061,0.074,2.8126349236119634
fatigue_rate,0.1,9,uniform,0.952267511830717,0.0854,3.021572525264581
fatigue_rate,0.2,5,bandit_v2,0.8942157243449658,0.0802,2.9546875411796347
fatigue_rate,0.2,5,fqi_v3,0.9062758801295975,0.0816,2.9429200482722506
fatigue_rate,0.2,5,no_op,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.2,5,ppo_v3,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.2,5,uniform,0.6925554721393037,0.0762,2.839785572755032
fatigue_rate,0.2,6,bandit_v2,0.8114470638727267,0.077,2.867115285276525
fatigue_rate,0.2,6,fqi_v3,0.8948908147086606,0.0816,2.9049735536232224
fatigue_rate,0.2,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.2,6,ppo_v3,0.9180348614045979,0.0738,2.82161248537588
fatigue_rate,0.2,6,uniform,0.7502262768810021,0.0768,2.8595769013895906
fatigue_rate,0.2,7,bandit_v2,0.8007981676741657,0.0724,2.8255960523279544
fatigue_rate,0.2,7,fqi_v3,0.8892371430626804,0.08,2.896793395753619
fatigue_rate,0.2,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.2,7,ppo_v3,0.8903954478470799,0.0728,2.7696311619097114
fatigue_rate,0.2,7,uniform,0.6782497139174001,0.0744,2.806801356204305
fatigue_rate,0.2,8,bandit_v2,0.9500725117282667,0.0818,2.9431773590098422
fatigue_rate,0.2,8,fqi_v3,0.9285260893478929,0.0824,2.9061988727768435
fatigue_rate,0.2,8,no_op,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.2,8,ppo_v3,1.0133013706290048,0.0828,2.9103505466898443
fatigue_rate,0.2,8,uniform,0.7966388546849577,0.0822,2.974742902276842
fatigue_rate,0.2,9,bandit_v2,0.8462839837528552,0.0818,2.947179974746267
fatigue_rate,0.2,9,fqi_v3,0.949569638343088,0.0862,2.964882380286207
fatigue_rate,0.2,9,no_op,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.2,9,ppo_v3,0.8930943485975446,0.0742,2.752634178500063
fatigue_rate,0.2,9,uniform,0.8162275118307171,0.0854,2.9821161237486815
fatigue_rate,0.4,5,bandit_v2,0.769127350888044,0.078,2.8804704685643805
fatigue_rate,0.4,5,fqi_v3,0.7646863821432125,0.08,2.8997538659497732
fatigue_rate,0.4,5,no_op,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.4,5,ppo_v3,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.4,5,uniform,0.5106154721393037,0.0762,2.8020300364180475
fatigue_rate,0.4,6,bandit_v2,0.8508166723975639,0.0848,2.9363342697547177
fatigue_rate,0.4,6,fqi_v3,0.7808299346211859,0.0814,2.8733754987328437
fatigue_rate,0.4,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.4,6,ppo_v3,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.4,6,uniform,0.568806276881002,0.0768,2.828468946068892
fatigue_rate,0.4,7,bandit_v2,0.7877816101206366,0.073,2.795676634614305
fatigue_rate,0.4,7,fqi_v3,0.8060300984148139,0.0794,2.856291096236085
fatigue_rate,0.4,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.4,7,ppo_v3,0.967657640164399,0.0804,2.8846761210548433
fatigue_rate,0.4,7,uniform,0.5000497139174,0.0744,2.770816227028444
fatigue_rate,0.4,8,bandit_v2,0.9020351756343075,0.0806,2.8929106353184615
fatigue_rate,0.4,8,fqi_v3,0.8937816199188754,0.0838,2.947717507698621
fatigue_rate,0.4,8,no_op,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.4,8,ppo_v3,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.4,8,uniform,0.6169788546849576,0.0822,2.943646538059611
fatigue_rate,0.4,9,bandit_v2,0.812983676981345,0.0774,2.8914677292354356
fatigue_rate,0.4,9,fqi_v3,0.8512100797281511,0.087,2.9583136314762366
fatigue_rate,0.4,9,no_op,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.4,9,ppo_v3,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.4,9,uniform,0.631227511830717,0.0854,2.9513944714809397
fatigue_rate,0.6,5,bandit_v2,0.8688786697853462,0.0854,2.9831449457198955
fatigue_rate,0.6,5,fqi_v3,0.7735105307016487,0.087,2.9716181299054467
fatigue_rate,0.6,5,no_op,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.6,5,ppo_v3,0.9891364895829158,0.081,2.9027535946989627
fatigue_rate,0.6,5,uniform,0.3913354721393037,0.0762,2.783190355001853
fatigue_rate,0.6,6,bandit_v2,0.8489036893312925,0.0838,2.908496659414621
fatigue_rate,0.6,6,fqi_v3,0.7117833100142452,0.0776,2.8318428577625427
fatigue_rate,0.6,6,no_op,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.6,6,ppo_v3,0.9190379372338064,0.0772,2.7992973858150254
fatigue_rate,0.6,6,uniform,0.4458462768810021,0.0768,2.8001723139658883
fatigue_rate,0.6,7,bandit_v2,0.7586381521158836,0.077,2.8029469635631736
fatigue_rate,0.6,7,fqi_v3,0.7850764221592278,0.0814,2.831433122006152
fatigue_rate,0.6,7,no_op,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.6,7,ppo_v3,0.9527923624315464,0.0786,2.8768697391794364
fatigue_rate,0.6,7,uniform,0.38570971391740005,0.0744,2.752842152996713
fatigue_rate,0.6,8,bandit_v2,0.9047329413902561,0.0846,2.956744089132796
fatigue_rate,0.6,8,fqi_v3,0.8290730802736574,0.0834,2.9178253855659726
fatigue_rate,0.6,8,no_op,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.6,8,ppo_v3,0.9979349852134687,0.0808,2.883955784274637
fatigue_rate,0.6,8,uniform,0.5033588546849577,0.0822,2.9206775864314505
fatigue_rate,0.6,9,bandit_v2,0.8187364985997134,0.0766,2.806741840052619
fatigue_rate,0.6,9,fqi_v3,0.7506663016370783,0.0808,2.859644815474989
fatigue_rate,0.6,9,no_op,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.6,9,ppo_v3,0.894503434374167,0.0744,2.7547734157911052
fatigue_rate,0.6,9,uniform,0.500587511830717,0.0854,2.941240581360066
delayed_reward_strength,0.0,5,bandit_v2,1.1307733725783224,0.0766,3.0067222978300205
delayed_reward_strength,0.0,5,fqi_v3,1.0503974860052836,0.079,2.9648700888789485
