axis,value,n_seeds,fqi_abs_change_mean,fqi_abs_change_ci95,fqi_abs_change_excludes_zero,bandit_abs_change_mean,bandit_abs_change_ci95,bandit_abs_change_excludes_zero,ppo_abs_change_mean,ppo_abs_change_ci95,ppo_abs_change_excludes_zero
delayed_reward_strength,0.25,15,0.3421945270244276,0.03443482436748931,True,0.34326233125900785,0.0307806237977266,True,0.7089389716137402,0.06811311278505784,True
delayed_reward_strength,0.5,15,0.5271317333599638,0.030511311682907823,True,0.49978836455519005,0.03380495085238715,True,0.709030103789472,0.04442663527285292,True
delayed_reward_strength,1.0,15,0.6040049708714258,0.0356811467773371,True,0.5564677866887179,0.03612737618473683,True,0.6968232103620923,0.07018047729919008,True
delayed_reward_strength,2.0,15,0.6086870047134699,0.03296066627814865,True,0.5561407191810008,0.03494412698728772,True,0.7015168103620922,0.06334199831331325,True
transition_coupling_strength,0.5,15,0.8598294522671197,0.04917038106104176,True,1.1226235686185546,0.05148477447482633,True,1.448806041236645,0.0781714463168336,True
transition_coupling_strength,1.0,15,1.9043571091369964,0.05454515989723727,True,2.524527407670982,0.05307291704934569,True,2.959242399809292,0.05157764785453056,True
transition_coupling_strength,2.0,15,3.117209128588117,0.049285319023259624,True,3.8415070199083843,0.05291028974680998,True,4.187388741165514,0.07549409973068986,True
transition_coupling_strength,3.0,15,3.462038949069077,0.0950727077132959,True,4.12390357002051,0.06622197451801465,True,4.381141804354734,0.07875414945400484,True
fatigue_rate,0.1,15,-0.11779019406187717,0.02859746060354765,True,-0.22908928074225765,0.024313052459543624,True,-0.2645230318335207,0.06129562626812539,True
fatigue_rate,0.2,15,-0.19830639892441085,0.03238281992529464,True,-0.3279819380670856,0.035107611128038535,True,-0.3227476833413776,0.07134880085899599,True
fatigue_rate,0.4,15,-0.31045248245018214,0.03929952776419201,True,-0.426246655764443,0.03674929887125746,True,-0.3125216812577842,0.06753985394806716,True
fatigue_rate,0.6,15,-0.39813551407835024,0.04446268107421054,True,-0.4262902599286697,0.03623975872463808,True,-0.30977056725651686,0.06767590367474619,True
