axis,value,seed,policy,mean_reward,std_reward,purchase_rate
fatigue_rate,0.2,23,uniform,1.1022910466819116,3.158041056661722,0.0784
fatigue_rate,0.2,23,no_op,1.248020483845504,3.0618450780779023,0.075
fatigue_rate,0.2,24,bandit_v2,1.154603494607007,3.167384855068797,0.0798
fatigue_rate,0.2,24,ppo_v3,1.3501581326170922,3.203891450244311,0.0816
fatigue_rate,0.2,24,fqi_v3,1.129365915961969,3.1228055187786388,0.0776
fatigue_rate,0.2,24,uniform,1.0912988026572024,3.1889530415077023,0.0776
fatigue_rate,0.2,24,no_op,1.3501581326170922,3.203891450244311,0.0816
fatigue_rate,0.4,10,bandit_v2,1.0748721357070323,3.1431975657082996,0.0802
fatigue_rate,0.4,10,ppo_v3,1.3099376113040386,3.1665527241720315,0.0808
fatigue_rate,0.4,10,fqi_v3,1.0209152196177522,3.0601188125500824,0.0756
fatigue_rate,0.4,10,uniform,0.9004217375400886,3.094555524171504,0.0786
fatigue_rate,0.4,10,no_op,1.3099376113040386,3.1665527241720315,0.0808
fatigue_rate,0.4,11,bandit_v2,1.0922251247990469,3.117109553969385,0.078
fatigue_rate,0.4,11,ppo_v3,1.2002902838840166,3.0164649573638087,0.0706
fatigue_rate,0.4,11,fqi_v3,1.1579742218787366,3.1652415459369645,0.0812
fatigue_rate,0.4,11,uniform,0.9225412139464731,3.1131046140434893,0.0818
fatigue_rate,0.4,11,no_op,1.2002902838840166,3.0164649573638087,0.0706
fatigue_rate,0.4,12,bandit_v2,1.078833963353933,3.1417051354599574,0.0804
fatigue_rate,0.4,12,ppo_v3,1.2948597335408925,3.1620681092780023,0.0778
fatigue_rate,0.4,12,fqi_v3,1.1516968270497685,3.2242764633491143,0.0828
fatigue_rate,0.4,12,uniform,0.8716423205383975,3.0579110016748414,0.078
fatigue_rate,0.4,12,no_op,1.2948597335408925,3.1620681092780023,0.0778
fatigue_rate,0.4,13,bandit_v2,1.042651336194148,3.000736626705711,0.0718
fatigue_rate,0.4,13,ppo_v3,1.2859973556467512,3.1557734931630943,0.079
fatigue_rate,0.4,13,fqi_v3,1.0914132380308648,3.1645148896422883,0.0788
fatigue_rate,0.4,13,uniform,0.8839553234872237,3.112959217145027,0.0768
fatigue_rate,0.4,13,no_op,1.2859973556467512,3.1557734931630943,0.079
fatigue_rate,0.4,14,bandit_v2,1.1105559520934207,3.1160102554468896,0.0804
fatigue_rate,0.4,14,ppo_v3,1.2761072237745268,3.0435649267962055,0.0744
fatigue_rate,0.4,14,fqi_v3,1.122077179732498,3.1525420392987096,0.081
fatigue_rate,0.4,14,uniform,0.941929802327257,3.1508058380659576,0.081
fatigue_rate,0.4,14,no_op,1.2761072237745268,3.0435649267962055,0.0744
fatigue_rate,0.4,15,bandit_v2,1.0160887926218625,3.023121278665189,0.0722
fatigue_rate,0.4,15,ppo_v3,1.3360354645211676,3.213164207368206,0.0818
fatigue_rate,0.4,15,fqi_v3,1.0875874393904983,3.1753200377680275,0.081
fatigue_rate,0.4,15,uniform,0.9222783939208695,3.0807262753522586,0.0794
fatigue_rate,0.4,15,no_op,1.3360354645211676,3.213164207368206,0.0818
fatigue_rate,0.4,16,bandit_v2,1.0335227297317195,3.024192197082376,0.0736
fatigue_rate,0.4,16,ppo_v3,1.3068904671716575,3.1596260297407346,0.0796
fatigue_rate,0.4,16,fqi_v3,1.0766703529085233,3.0585614055376595,0.0746
fatigue_rate,0.4,16,uniform,0.9286600086433653,3.1118355459062066,0.0794
fatigue_rate,0.4,16,no_op,1.3068904671716575,3.1596260297407346,0.0796
fatigue_rate,0.4,17,bandit_v2,1.0935011195224729,3.159121077095815,0.078
fatigue_rate,0.4,17,ppo_v3,1.2394327944116246,3.039980984475856,0.0734
fatigue_rate,0.4,17,fqi_v3,0.9777231900812104,3.035834376295757,0.0716
fatigue_rate,0.4,17,uniform,0.8977951172635994,3.1470963781216605,0.0788
fatigue_rate,0.4,17,no_op,1.2394327944116246,3.039980984475856,0.0734
fatigue_rate,0.4,18,bandit_v2,1.1252864182726952,3.1207604451094495,0.0788
fatigue_rate,0.4,18,ppo_v3,1.1783664446316775,2.9549834120403067,0.0688
fatigue_rate,0.4,18,fqi_v3,0.9961871442860943,3.0867746487235226,0.0758
fatigue_rate,0.4,18,uniform,0.8934324289538458,3.0526664877112455,0.0772
fatigue_rate,0.4,18,no_op,1.1783664446316775,2.9549834120403067,0.0688
fatigue_rate,0.4,19,bandit_v2,1.1151979062307467,3.1468065271215435,0.081
fatigue_rate,0.4,19,ppo_v3,1.361148149497409,3.2554580781914013,0.0858
fatigue_rate,0.4,19,fqi_v3,1.0608861468015514,3.1339218123451227,0.0772
fatigue_rate,0.4,19,uniform,0.8877193346668226,3.0813905263782133,0.079
fatigue_rate,0.4,19,no_op,1.361148149497409,3.2554580781914013,0.0858
fatigue_rate,0.4,20,bandit_v2,0.9909230707745666,3.0983374403905497,0.0746
fatigue_rate,0.4,20,ppo_v3,1.2186434814011158,3.0375124764631543,0.0724
fatigue_rate,0.4,20,fqi_v3,1.0303664682612212,3.1838690737672892,0.084
fatigue_rate,0.4,20,uniform,0.9095925119888543,3.0887260787514417,0.0786
fatigue_rate,0.4,20,no_op,1.2186434814011158,3.0375124764631543,0.0724
fatigue_rate,0.4,21,bandit_v2,1.0554709438918328,3.133960149105375,0.0788
fatigue_rate,0.4,21,ppo_v3,1.3496697418157089,3.2037777074506937,0.0834
fatigue_rate,0.4,21,fqi_v3,1.1152226380222465,3.1194390456203225,0.0792
fatigue_rate,0.4,21,uniform,0.9044675141470636,3.0304044636932175,0.077
fatigue_rate,0.4,21,no_op,1.3496697418157089,3.2037777074506937,0.0834
fatigue_rate,0.4,22,bandit_v2,1.1063322002638112,3.1321473636096258,0.0798
fatigue_rate,0.4,22,ppo_v3,1.2464243714928305,3.0786486824363086,0.0734
fatigue_rate,0.4,22,fqi_v3,1.0496364527757187,3.0829929856053226,0.074
fatigue_rate,0.4,22,uniform,0.8636327229929673,3.0452870863740977,0.0766
fatigue_rate,0.4,22,no_op,1.2876910815118405,3.133239119174264,0.077
fatigue_rate,0.4,23,bandit_v2,1.0166696284223369,3.0583838421646248,0.077
fatigue_rate,0.4,23,ppo_v3,1.248020483845504,3.0618450780779023,0.075
fatigue_rate,0.4,23,fqi_v3,1.0651171441231257,3.191608452524426,0.0818
fatigue_rate,0.4,23,uniform,0.9222310466819117,3.103190291209211,0.0784
fatigue_rate,0.4,23,no_op,1.248020483845504,3.0618450780779023,0.075
fatigue_rate,0.4,24,bandit_v2,1.0675330405795518,3.107030613823688,0.0788
fatigue_rate,0.4,24,ppo_v3,1.3501581326170922,3.203891450244311,0.0816
fatigue_rate,0.4,24,fqi_v3,0.972463053277162,3.0416903256440504,0.0744
fatigue_rate,0.4,24,uniform,0.8978588026572023,3.1218209929198433,0.0776
fatigue_rate,0.4,24,no_op,1.3501581326170922,3.203891450244311,0.0816
fatigue_rate,0.6,10,bandit_v2,1.0212636926041323,3.0463791059746423,0.0756
fatigue_rate,0.6,10,ppo_v3,1.3099376113040386,3.1665527241720315,0.0808
fatigue_rate,0.6,10,fqi_v3,0.9102300316678177,3.009526084465084,0.0736
fatigue_rate,0.6,10,uniform,0.7869817375400886,3.068264136726134,0.0786
fatigue_rate,0.6,10,no_op,1.3099376113040386,3.1665527241720315,0.0808
fatigue_rate,0.6,11,bandit_v2,1.1199248827550299,3.2051454480375865,0.0858
fatigue_rate,0.6,11,ppo_v3,1.2002902838840166,3.0164649573638087,0.0706
fatigue_rate,0.6,11,fqi_v3,1.0549473565972933,3.132479382625786,0.0808
fatigue_rate,0.6,11,uniform,0.8087812139464732,3.1021900474468747,0.0818
fatigue_rate,0.6,11,no_op,1.2002902838840166,3.0164649573638087,0.0706
fatigue_rate,0.6,12,bandit_v2,1.048970359192791,3.1354304766872807,0.08
fatigue_rate,0.6,12,ppo_v3,1.2948597335408925,3.1620681092780023,0.0778
fatigue_rate,0.6,12,fqi_v3,0.96696178230169,3.136307996386764,0.0788
fatigue_rate,0.6,12,uniform,0.7608623205383975,3.0453399656094517,0.078
fatigue_rate,0.6,12,no_op,1.2948597335408925,3.1620681092780023,0.0778
fatigue_rate,0.6,13,bandit_v2,1.063602101774159,3.1179087392426084,0.0794
fatigue_rate,0.6,13,ppo_v3,1.2859973556467512,3.1557734931630943,0.079
fatigue_rate,0.6,13,fqi_v3,1.0384857861338483,3.144339984930493,0.082
fatigue_rate,0.6,13,uniform,0.7663553234872238,3.097723632353104,0.0768
fatigue_rate,0.6,13,no_op,1.2859973556467512,3.1557734931630943,0.079
fatigue_rate,0.6,14,bandit_v2,1.1113339592555445,3.1702109743928175,0.082
fatigue_rate,0.6,14,ppo_v3,1.2761072237745268,3.0435649267962055,0.0744
fatigue_rate,0.6,14,fqi_v3,1.000777427451765,3.145124401582516,0.08
fatigue_rate,0.6,14,uniform,0.8121498023272569,3.1176887696688937,0.081
fatigue_rate,0.6,14,no_op,1.2761072237745268,3.0435649267962055,0.0744
