arm,axis,value,n_seeds,df,mean,ci95_halfwidth,t,p_raw,p_bh,prereg_significant,bh_significant
ppo,delayed_reward_strength,0.25,15,14,0.3656766403547324,0.07914016683128117,9.911229972930334,1.0431077414046845e-07,5.006917158742486e-07,True,True
ppo,delayed_reward_strength,0.5,15,14,0.2092417392342819,0.06019044151089254,7.456724346777088,3.0746098591302475e-06,9.223829577390743e-06,True,True
ppo,delayed_reward_strength,1.0,15,14,0.14035542367337434,0.0795063013320996,3.7866480861918554,0.0020029340754158546,0.0032046945206653673,True,True
ppo,delayed_reward_strength,2.0,15,14,0.14537609118109143,0.07435311088963116,4.193929639962479,0.0009011163537339806,0.001663599422278118,True,True
ppo,transition_coupling_strength,0.5,15,14,0.3261824726180904,0.1014116381100723,6.8992219907382895,7.333249806949035e-06,1.9555332818530763e-05,True,True
ppo,transition_coupling_strength,1.0,15,14,0.43471499213831033,0.07911147507103206,11.786705497520325,1.1770523544222472e-08,7.062314126533484e-08,True,True
ppo,transition_coupling_strength,2.0,15,14,0.3458817212571303,0.09288875608826026,7.987148534873226,1.3953207356552092e-06,5.581282942620837e-06,True,True
ppo,transition_coupling_strength,3.0,15,14,0.25723823433422366,0.08321112226900033,6.631036784519726,1.1305596684323842e-05,2.713343204237722e-05,True,True
ppo,fatigue_rate,0.1,15,14,-0.03543375109126309,0.0606817650962291,-1.2525244770027704,0.23089805379938932,0.2770776645592672,False,False
ppo,fatigue_rate,0.2,15,14,0.005234254725708028,0.08065210375115238,0.13920872320064312,0.8912679412176249,0.9300187212705652,False,False
ppo,fatigue_rate,0.4,15,14,0.11372497450665885,0.0695565173420155,3.5070771171205783,0.00348583753646332,0.0052287563046949795,True,True
ppo,fatigue_rate,0.6,15,14,0.11651969267215286,0.07260674759008579,3.4423073485238396,0.0039648323097762304,0.00559741031968409,True,True
fqi,delayed_reward_strength,0.25,15,14,-0.0010678042345802386,0.04760411035186072,-0.04811433437669704,0.9623047745628399,0.9623047745628398,False,False
fqi,delayed_reward_strength,0.5,15,14,0.027343368804773654,0.0497248464810135,1.1795215116176272,0.2578468446043758,0.29468210811928663,False,False
fqi,delayed_reward_strength,1.0,15,14,0.04753718418270787,0.050130861019531923,2.034021718321974,0.061351804823848485,0.07749701661959808,False,False
fqi,delayed_reward_strength,2.0,15,14,0.05254628553246901,0.046358094745922,2.431329050188392,0.029068650625652247,0.03875820083420299,True,True
fqi,transition_coupling_strength,0.5,15,14,-0.26279411635143496,0.0721960314444839,-7.807816694291396,1.8154182886881358e-06,6.224291275502179e-06,True,True
fqi,transition_coupling_strength,1.0,15,14,-0.6201702985339854,0.08408120487295605,-15.82119681045706,2.509205455547788e-10,3.0110465466573458e-09,True,True
fqi,transition_coupling_strength,2.0,15,14,-0.7242978913202673,0.07627121254633851,-20.369664058219524,8.388048623403191e-12,2.013131669616766e-10,True,True
fqi,transition_coupling_strength,3.0,15,14,-0.6618646209514331,0.11185556599596036,-12.692257191672484,4.538366549359492e-09,3.6306932394875934e-08,True,True
fqi,fatigue_rate,0.1,15,14,0.11129908668038048,0.04365897294698757,5.468212484505748,8.281138564267569e-05,0.00018067938685674696,True,True
fqi,fatigue_rate,0.2,15,14,0.12967553914267477,0.055181369624403724,5.040723587586071,0.00018038566607813598,0.000360771332156272,True,True
fqi,fatigue_rate,0.4,15,14,0.11579417331426087,0.06300151131022025,3.9424213259912233,0.0014735409155514014,0.00252607014094526,True,True
fqi,fatigue_rate,0.6,15,14,0.028154745850319466,0.06577658887945742,0.9181371499761088,0.37409440847754816,0.4081029910664162,False,False
