axis,value,n_seeds,fqi_abs_change_mean,fqi_abs_change_ci95,fqi_abs_change_excludes_zero,bandit_abs_change_mean,bandit_abs_change_ci95,bandit_abs_change_excludes_zero,ppo_abs_change_mean,ppo_abs_change_ci95,ppo_abs_change_excludes_zero
delayed_reward_strength,0.25,5,0.347733924074937,0.07826905606153671,True,0.36369284949076386,0.07983147387041607,True,0.7164904153433594,0.06917169692044164,True
delayed_reward_strength,0.5,5,0.5339784614631612,0.057284203997845555,True,0.5083393028942499,0.08124130768864875,True,0.7329976931775517,0.04755031923893226,True
delayed_reward_strength,1.0,5,0.6083816928093064,0.060464537076577576,True,0.5851078056250735,0.07719401705893247,True,0.7022582128954128,0.1480380046486478,True
delayed_reward_strength,2.0,5,0.6105147193899594,0.060709411218300396,True,0.582040803166004,0.071623902223837,True,0.7022582128954128,0.1480380046486478,True
transition_coupling_strength,0.5,5,0.8005540987129949,0.05231184331273649,True,1.1459302991909863,0.10631702398721068,True,1.361461404167465,0.09927507918773001,True
transition_coupling_strength,1.0,5,1.8203480686907814,0.05164311139003266,True,2.522519960026572,0.1547372350949591,True,2.956917713901221,0.06889556901020708,True
transition_coupling_strength,2.0,5,3.0634811509446167,0.0945942981370893,True,3.862466022870553,0.09275430729978233,True,4.153391040876649,0.13873754278782233,True
transition_coupling_strength,3.0,5,3.311781334338897,0.2266745388678513,True,4.055461498274839,0.11617100536145347,True,4.305229601372668,0.1587229555557824,True
fatigue_rate,0.1,5,-0.12397073630700825,0.05415069201219209,True,-0.22415235756785434,0.06261054093175593,True,-0.2752145496866192,0.050911230250179136,True
fatigue_rate,0.2,5,-0.19987753208836537,0.04358630115659996,True,-0.2973188196564777,0.07323927209300787,True,-0.396830418867787,0.05585246827326637,True
fatigue_rate,0.4,5,-0.29994007701690595,0.07721988887605548,True,-0.4116638054095196,0.04925265530987997,True,-0.35920882567233053,0.08270348422695377,True
fatigue_rate,0.6,5,-0.41447493744834707,0.08658471783989846,True,-0.41847250872270436,0.05371805162861402,True,-0.35920882567233053,0.08270348422695377,True
