axis,value,seed,bandit_v2,ppo_v3,fqi_v3,ppo_minus_bandit,fqi_minus_bandit
fatigue_rate,0.0,10,1.5100365612636057,1.7102694530950775,1.450081984421686,0.20023289183147175,-0.05995457684191985
fatigue_rate,0.0,11,1.5170774846353534,1.6959238857628378,1.476604939162451,0.1788464011274844,-0.040472545472902466
fatigue_rate,0.0,12,1.4279026840492002,1.6241975642219662,1.4077169335968578,0.19629488017276597,-0.020185750452342388
fatigue_rate,0.0,13,1.492918361293233,1.6818003277871751,1.4948699262825682,0.18888196649394207,0.0019515649893351306
fatigue_rate,0.0,14,1.5095224479537863,1.6630371056448217,1.422614337666852,0.15351465769103534,-0.08690811028693424
fatigue_rate,0.1,10,1.2730768217410091,1.4026049670195386,1.2903011677310563,0.12952814527852952,0.017224345990047185
fatigue_rate,0.1,11,1.2472564997608333,1.3843038857628376,1.3255471246801214,0.13704738600200428,0.07829062491928807
fatigue_rate,0.1,12,1.2699228179740647,1.314017564221966,1.219194804172646,0.04409474624790133,-0.05072801380141878
fatigue_rate,0.1,13,1.2229904671307417,1.327852327787175,1.2631295201575987,0.10486186065643333,0.04013905302685705
fatigue_rate,0.1,14,1.3234491447492582,1.3552771056448218,1.2343440989689782,0.03182796089556361,-0.08910504578028
fatigue_rate,0.2,10,1.1888317706655274,1.4236772750931657,1.1675893579027563,0.2348455044276383,-0.021242412762771057
fatigue_rate,0.2,11,1.1870305078654735,1.2353450610647438,1.1468622292222852,0.04831455319927036,-0.04016827864318828
fatigue_rate,0.2,12,1.235907693227457,1.2945102476607042,1.0521558469373848,0.058602554433247134,-0.18375184629007224
fatigue_rate,0.2,13,1.1715445864085563,1.2973431581194932,1.1739477452887441,0.1257985717109369,0.002403158880187828
fatigue_rate,0.2,14,1.1875488827457759,1.4119469055298608,1.1076761168591556,0.22439802278408494,-0.07987276588662029
fatigue_rate,0.4,10,1.0748721357070323,1.4005528328684387,1.0998346305344924,0.32568069716140635,0.024962494827460047
fatigue_rate,0.4,11,1.0922251247990469,1.2084370610647437,1.0298739741368346,0.11621193626569681,-0.06235115066221231
fatigue_rate,0.4,12,1.078833963353933,1.2998375494865821,1.0184201809197508,0.22100358613264914,-0.06041378243418216
fatigue_rate,0.4,13,1.042651336194148,1.3120914344592127,1.0242565874049128,0.26944009826506465,-0.018394748789235305
fatigue_rate,0.4,14,1.1105559520934207,1.2761072237745268,1.0590690330821904,0.16555127168110606,-0.05148691901123037
fatigue_rate,0.6,10,1.0212636926041323,1.3099376113040386,1.0149385328807596,0.28867391869990633,-0.006325159723372664
fatigue_rate,0.6,11,1.1199248827550299,1.194974719947548,0.8895032288169359,0.07504983719251812,-0.230421653938094
fatigue_rate,0.6,12,1.048970359192791,1.297635925212305,0.9375820764658558,0.24866556601951406,-0.11138828272693524
fatigue_rate,0.6,13,1.063602101774159,1.2859973556467512,0.9233375205480284,0.22239525387259218,-0.1402645812261306
fatigue_rate,0.6,14,1.1113339592555445,1.2761072237745268,0.9699886631032519,0.16477326451898233,-0.14134529615229252
delayed_reward_strength,0.0,10,1.5100365612636057,1.7102694530950775,1.450081984421686,0.20023289183147175,-0.05995457684191985
delayed_reward_strength,0.0,11,1.5170774846353534,1.6959238857628378,1.476604939162451,0.1788464011274844,-0.040472545472902466
delayed_reward_strength,0.0,12,1.4279026840492002,1.6241975642219662,1.4077169335968578,0.19629488017276597,-0.020185750452342388
delayed_reward_strength,0.0,13,1.492918361293233,1.6818003277871751,1.4948699262825682,0.18888196649394207,0.0019515649893351306
delayed_reward_strength,0.0,14,1.5095224479537863,1.6630371056448217,1.422614337666852,0.15351465769103534,-0.08690811028693424
delayed_reward_strength,0.25,10,1.9462105071259495,1.8089983667270084,1.7690593738524898,-0.13721214039894103,-0.17715113327345966
delayed_reward_strength,0.25,11,1.857785900904023,1.6797938857628374,1.7088107616689183,-0.17799201514118557,-0.14897513923510464
delayed_reward_strength,0.25,12,1.8510568942880432,1.6241975642219662,1.647784257678909,-0.22685933006607706,-0.2032726366091342
delayed_reward_strength,0.25,13,1.7767671178884281,1.6818003277871751,1.7971944823298038,-0.09496679010125297,0.020427364441375717
delayed_reward_strength,0.25,14,1.8441013664425543,1.6630371056448217,1.683658692953523,-0.18106426079773263,-0.16044267348903118
delayed_reward_strength,0.5,10,2.0571410975335773,1.6914174530950774,1.922855936179864,-0.3657236444384999,-0.13428516135371327
delayed_reward_strength,0.5,11,1.9870447042656647,1.7105338857628376,1.8476955395445607,-0.2765108185028271,-0.13934916472110404
delayed_reward_strength,0.5,12,2.0267114673927002,1.6241975642219662,1.8351550362604703,-0.4025139031707341,-0.19155643113222998
delayed_reward_strength,0.5,13,1.9254815639654785,1.6818003277871751,1.9692170041627741,-0.2436812361783034,0.04373544019729558
delayed_reward_strength,0.5,14,2.0027752205090077,1.6630371056448217,1.803037558702323,-0.33973811486418604,-0.19973766180668462
delayed_reward_strength,1.0,10,2.1465436435848164,1.6914174530950774,2.0141261418966763,-0.455126190489739,-0.13241750168814015
delayed_reward_strength,1.0,11,2.072991354743456,1.7105338857628376,1.9381749860381434,-0.36245746898061837,-0.13481636870531255
delayed_reward_strength,1.0,12,2.0892894308349352,1.6241975642219662,1.904742185497668,-0.4650918666129691,-0.18454724533726719
delayed_reward_strength,1.0,13,2.003258794052068,1.6818003277871751,2.048949864372917,-0.3214584662648927,0.04569107032084929
delayed_reward_strength,1.0,14,2.0709133441052705,1.6630371056448217,1.8631792554217423,-0.40787623846044885,-0.20773408868352816
delayed_reward_strength,2.0,10,2.1465436435848164,1.6914174530950774,2.0157046083305654,-0.455126190489739,-0.130839035254251
delayed_reward_strength,2.0,11,2.072991354743456,1.7105338857628376,1.9415628105660467,-0.36245746898061837,-0.13142854417740923
