arm,axis,value,n_seeds,delta_discounted_mean,delta_discounted_ci95,delta_myopic_mean,delta_myopic_ci95,paired_mean,paired_ci95,paired_lo,paired_hi,paired_excludes_zero
ppo,delayed_reward_strength,0.25,5,0.3527975658525956,0.05274426190462711,-0.34717306676437776,0.0624747068422944,-0.6999706326169733,0.08812039070200782,-0.7880910233189812,-0.6118502419149655,True
ppo,delayed_reward_strength,0.5,5,0.22465839028330178,0.04781490227163569,-0.50918770289425,0.08839194520966438,-0.7338460931775519,0.048751820076807825,-0.7825979132543597,-0.6850942731007441,True
ppo,delayed_reward_strength,1.0,5,0.11715040727033936,0.10947773128149639,-0.5859562056250736,0.08515932905209847,-0.7031066128954129,0.14759936788145647,-0.8507059807768693,-0.5555072450139564,True
ppo,delayed_reward_strength,2.0,5,0.12021740972940873,0.11003276937651944,-0.5828892031660041,0.08020725860298027,-0.7031066128954129,0.14759936788145647,-0.8507059807768693,-0.5555072450139564,True
ppo,transition_coupling_strength,0.5,5,0.21553110497647868,0.12108637477874978,0.17613830497647878,0.0735041540343885,-0.039392799999999895,0.04996715771131885,-0.08935995771131874,0.010574357711318955,False
ppo,transition_coupling_strength,1.0,5,0.4343977538746492,0.17401925925640152,0.4120009538746491,0.15203594149384655,-0.022396800000000015,0.07654626319024738,-0.0989430631902474,0.05414946319024736,False
ppo,transition_coupling_strength,2.0,5,0.2909250180060956,0.18969117017289655,0.26222061800609553,0.1716273613656711,-0.028704400000000074,0.0730363862945742,-0.10174078629457427,0.04433198629457412,False
ppo,transition_coupling_strength,3.0,5,0.249768103097829,0.13299195323446525,0.2571274143485527,0.12944060866349508,0.00735931125072371,0.1587780075295606,-0.1514186962788369,0.1661373187802843,False
ppo,fatigue_rate,0.1,5,-0.05106219211876484,0.028392308818092016,-0.0940821396472535,0.053832162282517214,-0.04301994752848866,0.050405815400888405,-0.09342576292937707,0.007385867872399747,False
ppo,fatigue_rate,0.2,5,-0.09951159921130928,0.11207565941481851,-0.045162318152304384,0.11777826393026274,0.0543492810590049,0.11366301099732573,-0.05931372993832083,0.16801229205633061,False
ppo,fatigue_rate,0.4,5,0.052454979737189024,0.07629122053754486,0.036023358437844696,0.08869489231409347,-0.016431621299344324,0.08217734086031293,-0.09860896215965725,0.06574571956096861,False
ppo,fatigue_rate,0.6,5,0.05926368305037388,0.0835598176893124,0.016357408597362698,0.09048717499335898,-0.042906274453011185,0.053423089790804186,-0.09632936424381537,0.010516815337793,False
fqi,delayed_reward_strength,0.25,5,-0.015958925415826865,0.15318603621750762,-0.09276896002011803,0.09153844953977247,-0.07681003460429117,0.097097131919201,-0.17390716652349217,0.020287097314909824,False
fqi,delayed_reward_strength,0.5,5,0.025639158568911257,0.12580503693435377,-0.0831247121503345,0.0973528257170251,-0.10876387071924576,0.10438371333487736,-0.21314758405412312,-0.004380157384368394,True
fqi,delayed_reward_strength,1.0,5,0.023273887184232935,0.11179982389008636,-0.081650943205727,0.09685020460471164,-0.10492483038995992,0.1030416861555794,-0.20796651654553933,-0.0018831442343805183,True
fqi,delayed_reward_strength,2.0,5,0.028473916223955297,0.10378480304501224,-0.07722605507933897,0.09157012761573713,-0.10569997130329427,0.10121416748739992,-0.2069141387906942,-0.004485803815894349,True
fqi,transition_coupling_strength,0.5,5,-0.34537620047799145,0.12155836306730418,-0.21041438959557918,0.08271355667427738,0.13496181088241227,0.09476923755821134,0.040192573324200925,0.22973104844062361,True
fqi,transition_coupling_strength,1.0,5,-0.7021718913357908,0.1707006644978729,-0.4743439865505537,0.18838347069737563,0.22782790478523712,0.05336193979748855,0.17446596498774858,0.28118984458272567,True
fqi,transition_coupling_strength,2.0,5,-0.7989848719259366,0.12605123161565332,-0.40589294152179284,0.1367877502881521,0.39309193040414375,0.046908395446345716,0.346183534957798,0.4400003258504895,True
fqi,transition_coupling_strength,3.0,5,-0.7436801639359423,0.30299617748463553,-0.24050179208575245,0.1711738739165653,0.5031783718501898,0.22967078621657566,0.2735075856336141,0.7328491580667654,True
fqi,fatigue_rate,0.1,5,0.1001816212608461,0.11185977724910892,0.04027807648385147,0.07434706439602477,-0.059903544776994624,0.06006796481187702,-0.11997150958887165,0.00016442003488239404,False
fqi,fatigue_rate,0.2,5,0.09744128756811236,0.09690938263416804,-0.023412545327540047,0.09924259314574894,-0.12085383289565241,0.05924411342346453,-0.18009794631911694,-0.06160971947218788,True
fqi,fatigue_rate,0.4,5,0.11172372839261357,0.07262406256663502,0.007577062399072743,0.06417740640972702,-0.10414666599354083,0.12315319016971703,-0.22729985616325787,0.019006524176176195,False
fqi,fatigue_rate,0.6,5,0.003997571274357292,0.07321523473856913,-0.08483511114041224,0.11526007345829264,-0.08883268241476953,0.1688287015056066,-0.25766138392037613,0.07999601909083708,False
