axis,value,seed,policy,mean_reward,std_reward,purchase_rate
fatigue_rate,0.0,5,bandit_v2,1.1311100236116987,3.058809444604219,0.0776
fatigue_rate,0.0,5,ppo_v3,1.2146372075894742,3.0724048938797646,0.0756
fatigue_rate,0.0,5,fqi_v3,1.0503974860052836,2.9648700888789485,0.079
fatigue_rate,0.0,5,uniform,1.0172154721393036,2.9118595776263043,0.0762
fatigue_rate,0.0,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.0,6,bandit_v2,1.189057433750995,3.054863302797896,0.0798
fatigue_rate,0.0,6,ppo_v3,1.3705450175121492,3.1535630276051454,0.0822
fatigue_rate,0.0,6,fqi_v3,1.0664905005433203,2.9838612969955163,0.0824
fatigue_rate,0.0,6,uniform,1.065086276881002,2.965041777507048,0.0768
fatigue_rate,0.0,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.0,7,bandit_v2,1.1752842029481314,3.029679458958347,0.0806
fatigue_rate,0.0,7,ppo_v3,1.2402284421746372,3.118528481678208,0.079
fatigue_rate,0.0,7,fqi_v3,1.1070938026636452,3.038037463410817,0.0846
fatigue_rate,0.0,7,uniform,1.0119097139174,2.884487526726151,0.0744
fatigue_rate,0.0,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.0,8,bandit_v2,1.2764461992732858,3.131452260876248,0.0848
fatigue_rate,0.0,8,ppo_v3,1.4547382676649625,3.3266392865049608,0.0938
fatigue_rate,0.0,8,fqi_v3,1.0663149285495734,2.9544292883738468,0.08
fatigue_rate,0.0,8,uniform,1.1115188546849577,3.0683179180353353,0.0822
fatigue_rate,0.0,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.0,9,bandit_v2,1.2123520218168946,3.112914828710165,0.0852
fatigue_rate,0.0,9,ppo_v3,1.3597952264955602,3.18821824977036,0.0812
fatigue_rate,0.0,9,fqi_v3,1.0367239394598942,2.928760271763634,0.078
fatigue_rate,0.0,9,uniform,1.1415475118307172,3.077516099715073,0.0854
fatigue_rate,0.0,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.1,5,bandit_v2,1.0343413248453186,3.0561156019585507,0.0856
fatigue_rate,0.1,5,ppo_v3,0.9660324235245702,3.024725795690161,0.0816
fatigue_rate,0.1,5,fqi_v3,0.963133673972216,2.9593639724747596,0.0802
fatigue_rate,0.1,5,uniform,0.8298954721393038,2.850757491609323,0.0762
fatigue_rate,0.1,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.1,6,bandit_v2,1.021025211167935,3.0294927534943183,0.0856
fatigue_rate,0.1,6,ppo_v3,0.9576788533024756,2.855055157316531,0.077
fatigue_rate,0.1,6,fqi_v3,0.9571404265405629,2.9343594175930057,0.0826
fatigue_rate,0.1,6,uniform,0.8801662768810021,2.8919901290226373,0.0768
fatigue_rate,0.1,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.1,7,bandit_v2,0.9540414185246303,2.9558322448161385,0.0794
fatigue_rate,0.1,7,ppo_v3,0.9577560311769127,2.8538624117407783,0.0782
fatigue_rate,0.1,7,fqi_v3,0.957432434573763,2.925063687152512,0.0792
fatigue_rate,0.1,7,uniform,0.8153697139174001,2.826127701258493,0.0744
fatigue_rate,0.1,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.1,8,bandit_v2,0.9929597763453241,3.005284996820291,0.082
fatigue_rate,0.1,8,ppo_v3,1.0457972223443235,2.9551865428756314,0.079
fatigue_rate,0.1,8,fqi_v3,0.9814601842223858,2.955121128262252,0.0818
fatigue_rate,0.1,8,uniform,0.9351388546849575,3.0007541808284475,0.0822
fatigue_rate,0.1,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.1,9,bandit_v2,0.9689650251192372,3.0243574651594187,0.0828
fatigue_rate,0.1,9,ppo_v3,0.9375299698299061,2.8126349236119634,0.074
fatigue_rate,0.1,9,fqi_v3,0.9784678128711739,2.9116742279326413,0.0824
fatigue_rate,0.1,9,uniform,0.952267511830717,3.021572525264581,0.0854
fatigue_rate,0.1,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.2,5,bandit_v2,0.9107254288709073,2.997221418681102,0.084
fatigue_rate,0.2,5,ppo_v3,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.2,5,fqi_v3,0.9062758801295975,2.9429200482722506,0.0816
fatigue_rate,0.2,5,uniform,0.6925554721393037,2.839785572755032,0.0762
fatigue_rate,0.2,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.2,6,bandit_v2,0.8138727775934299,2.846514950468514,0.0768
fatigue_rate,0.2,6,ppo_v3,0.9180348614045979,2.82161248537588,0.0738
fatigue_rate,0.2,6,fqi_v3,0.8948908147086606,2.9049735536232224,0.0816
fatigue_rate,0.2,6,uniform,0.7502262768810021,2.8595769013895906,0.0768
fatigue_rate,0.2,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.2,7,bandit_v2,0.8577679651812187,2.924597340995982,0.0798
fatigue_rate,0.2,7,ppo_v3,0.8903954478470799,2.7696311619097114,0.0728
fatigue_rate,0.2,7,fqi_v3,0.8892371430626804,2.896793395753619,0.08
fatigue_rate,0.2,7,uniform,0.6782497139174001,2.806801356204305,0.0744
fatigue_rate,0.2,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.2,8,bandit_v2,0.8554562894867936,2.8567147727923614,0.0772
fatigue_rate,0.2,8,ppo_v3,1.0133013706290048,2.9103505466898443,0.0828
fatigue_rate,0.2,8,fqi_v3,0.9285260893478929,2.9061988727768435,0.0824
fatigue_rate,0.2,8,uniform,0.7966388546849577,2.974742902276842,0.0822
fatigue_rate,0.2,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.2,9,bandit_v2,0.8171984860980681,2.9231672175361103,0.0808
fatigue_rate,0.2,9,ppo_v3,0.8930943485975446,2.752634178500063,0.0742
fatigue_rate,0.2,9,fqi_v3,0.949569638343088,2.964882380286207,0.0862
fatigue_rate,0.2,9,uniform,0.8162275118307171,2.9821161237486815,0.0854
fatigue_rate,0.2,9,no_op,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.4,5,bandit_v2,0.768117063211481,2.907146460861499,0.0804
fatigue_rate,0.4,5,ppo_v3,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.4,5,fqi_v3,0.7646863821432125,2.8997538659497732,0.08
fatigue_rate,0.4,5,uniform,0.5106154721393037,2.8020300364180475,0.0762
fatigue_rate,0.4,5,no_op,0.9891364895829158,2.9027535946989627,0.081
fatigue_rate,0.4,6,bandit_v2,0.7124204745502376,2.855344019208065,0.0762
fatigue_rate,0.4,6,ppo_v3,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.4,6,fqi_v3,0.7808299346211859,2.8733754987328437,0.0814
fatigue_rate,0.4,6,uniform,0.568806276881002,2.828468946068892,0.0768
fatigue_rate,0.4,6,no_op,0.9190379372338064,2.7992973858150254,0.0772
fatigue_rate,0.4,7,bandit_v2,0.8856138109976833,2.9945374255714468,0.0874
fatigue_rate,0.4,7,ppo_v3,0.967657640164399,2.8846761210548433,0.0804
fatigue_rate,0.4,7,fqi_v3,0.8060300984148139,2.856291096236085,0.0794
fatigue_rate,0.4,7,uniform,0.5000497139174,2.770816227028444,0.0744
fatigue_rate,0.4,7,no_op,0.9527923624315464,2.8768697391794364,0.0786
fatigue_rate,0.4,8,bandit_v2,0.8741215864771752,2.9756712601175432,0.0828
fatigue_rate,0.4,8,ppo_v3,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.4,8,fqi_v3,0.8937816199188754,2.947717507698621,0.0838
fatigue_rate,0.4,8,uniform,0.6169788546849576,2.943646538059611,0.0822
fatigue_rate,0.4,8,no_op,0.9979349852134687,2.883955784274637,0.0808
fatigue_rate,0.4,9,bandit_v2,0.8079911675587071,2.9424812109295666,0.081
fatigue_rate,0.4,9,ppo_v3,0.894503434374167,2.7547734157911052,0.0744
fatigue_rate,0.4,9,fqi_v3,0.8512100797281511,2.9583136314762366,0.087
