axis,value,seed,bandit_v2,ppo_v3,fqi_v3,ppo_minus_bandit,fqi_minus_bandit
transition_coupling_strength,0.0,0,1.0935760527171714,1.250553158968102,0.9819044334779468,0.15697710625093064,-0.11167161923922464
transition_coupling_strength,0.0,1,1.1729877096325418,1.0777391916115406,1.106973205052345,-0.0952485180210012,-0.06601450458019675
transition_coupling_strength,0.0,2,1.132079581743119,1.2112291636586725,1.0637083753297083,0.07914958191555344,-0.06837120641341077
transition_coupling_strength,0.5,0,1.9597279071262468,1.979658800197811,1.6522631822101024,0.01993089307156426,-0.3074647249161444
transition_coupling_strength,0.5,1,1.9355302136070172,1.9649627050860423,1.7219635823333976,0.029432491479025158,-0.21356663127361952
transition_coupling_strength,0.5,2,1.9113275564420869,2.0186244465208785,1.7357020477062894,0.10729689007879162,-0.1756255087357974
transition_coupling_strength,1.0,0,2.938582712230411,3.032466127018489,2.5333789679908847,0.09388341478807805,-0.4052037442395262
transition_coupling_strength,1.0,1,2.806012365643156,3.073729189449723,2.5534335096862977,0.26771682380656703,-0.2525788559568585
transition_coupling_strength,1.0,2,2.823853582388717,3.4346660058054974,2.604525589886477,0.6108124234167804,-0.21932799250223978
transition_coupling_strength,2.0,0,3.959162443569219,4.373203633275651,3.507706228793147,0.41404118970643156,-0.45145621477607234
transition_coupling_strength,2.0,1,3.8855028591205047,4.293366249947401,3.385165519717098,0.4078633908268965,-0.5003373394034067
transition_coupling_strength,2.0,2,3.7427917527904544,4.6738490317704855,3.6279345212833873,0.9310572789800311,-0.11485723150706706
transition_coupling_strength,3.0,0,3.7060139447269123,4.180606432218236,3.6604682332902643,0.4745924874913241,-0.045545711436647984
transition_coupling_strength,3.0,1,4.117544096466997,4.291491248173621,3.7653956584416313,0.17394715170662423,-0.35214843802536544
transition_coupling_strength,3.0,2,4.0992989215580895,4.269694485271915,3.7191810061025974,0.17039556371382591,-0.3801179154554921
